period,dong_code,district,dong,category,store_count
2024-03-01,30170530,서구,도마2동,"전문, 과학 및 기술 서비스업",41
2024-03-01,30170535,서구,정림동,교육 서비스업,23
2024-03-01,30170535,서구,정림동,보건의료업,6
2024-03-01,30170535,서구,정림동,부동산업,10
2024-03-01,30170535,서구,정림동,"사업시설 관리, 사업 지원 및 임대 서비스업",10
2024-03-01,30170535,서구,정림동,소매업,159
2024-03-01,30170535,서구,정림동,수리 및 개인 서비스업,83
2024-03-01,30170535,서구,정림동,숙박업,0
2024-03-01,30170535,서구,정림동,"예술, 스포츠 및 여가관련 서비스업",32
2024-03-01,30170535,서구,정림동,음식점업,164
2024-03-01,30170535,서구,정림동,"전문, 과학 및 기술 서비스업",35
2024-03-01,30170540,서구,변동,교육 서비스업,21
2024-03-01,30170540,서구,변동,보건의료업,1
2024-03-01,30170540,서구,변동,부동산업,36
2024-03-01,30170540,서구,변동,"사업시설 관리, 사업 지원 및 임대 서비스업",60
2024-03-01,30170540,서구,변동,소매업,180
2024-03-01,30170540,서구,변동,수리 및 개인 서비스업,116
2024-03-01,30170540,서구,변동,숙박업,2
2024-03-01,30170540,서구,변동,"예술, 스포츠 및 여가관련 서비스업",18
2024-03-01,30170540,서구,변동,음식점업,154
2024-03-01,30170540,서구,변동,"전문, 과학 및 기술 서비스업",90
2024-03-01,30170550,서구,용문동,교육 서비스업,21
2024-03-01,30170550,서구,용문동,보건의료업,2
2024-03-01,30170550,서구,용문동,부동산업,44
2024-03-01,30170550,서구,용문동,"사업시설 관리, 사업 지원 및 임대 서비스업",35
2024-03-01,30170550,서구,용문동,소매업,163
2024-03-01,30170550,서구,용문동,수리 및 개인 서비스업,134
2024-03-01,30170550,서구,용문동,숙박업,12
2024-03-01,30170550,서구,용문동,"예술, 스포츠 및 여가관련 서비스업",27
2024-03-01,30170550,서구,용문동,음식점업,160
2024-03-01,30170550,서구,용문동,"전문, 과학 및 기술 서비스업",49
2024-03-01,30170555,서구,탄방동,교육 서비스업,150
2024-03-01,30170555,서구,탄방동,보건의료업,51
2024-03-01,30170555,서구,탄방동,부동산업,86
2024-03-01,30170555,서구,탄방동,"사업시설 관리, 사업 지원 및 임대 서비스업",111
2024-03-01,30170555,서구,탄방동,소매업,701
2024-03-01,30170555,서구,탄방동,수리 및 개인 서비스업,423
2024-03-01,30170555,서구,탄방동,숙박업,6
2024-03-01,30170555,서구,탄방동,"예술, 스포츠 및 여가관련 서비스업",111
2024-03-01,30170555,서구,탄방동,음식점업,660
2024-03-01,30170555,서구,탄방동,"전문, 과학 및 기술 서비스업",234
2024-03-01,30170560,서구,괴정동,교육 서비스업,54
2024-03-01,30170560,서구,괴정동,보건의료업,12
