period,category_code,category,store_count,confirmed_count,coverage_status,has_legacy_ancestor,crosswalk_type,mapping_type,mapping_confidence
2025-06-01,Q10203,신경/정신과 의원,69,69,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10204,피부/비뇨기과 의원,144,144,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10205,안과 의원,36,36,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10206,이비인후과 의원,54,54,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10207,산부인과 의원,42,42,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10208,성형외과 의원,43,43,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10209,기타 의원,110,110,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10210,치과의원,421,421,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10211,한의원,372,372,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10212,방사선 진단/병리 검사 의원,22,22,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10402,유사 의료업,141,141,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,S20902,셀프 빨래방,199,199,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,G20602,주류 소매업,19,19,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,I20202,마라탕/훠궈,114,114,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,M10502,옥외/전시 광고 대행업,47,47,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,M10503,광고 매체 판매업,17,17,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,M10601,시장 조사 및 여론 조사업,48,48,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,M10901,건축 설계 및 관련 서비스업,507,507,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,M10902,도시 계획 및 조경 설계 서비스업,46,46,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,M10903,건물 및 토목 엔지니어링 서비스업,159,159,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,M10904,환경 관련 엔지니어링 서비스업,71,71,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,M10999,기타 엔지니어링 서비스업,284,284,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,M11101,동물병원,109,109,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,M11201,인테리어 디자인업,746,746,관측체계 내 확정집계,True,추가,추가,소분류확정
2025-10-01,M11202,제품 디자인업,92,92,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,M11203,시각 디자인업,314,314,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,N10301,조경 유지·관리 서비스업,38,38,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,N10501,여행사,312,312,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-10-01,N10599,기타 여행 보조/예약 서비스업,29,29,관측체계 내 확정집계,False,추가,추가,소분류확정
