period,category_code,category,store_count,confirmed_count,coverage_status
2024-12-01,M107,회사 본부 및 경영 컨설팅 서비스업,1000,1000,관측체계 내 확정집계
2024-12-01,M109,"건축 기술, 엔지니어링 및 관련 기술 서비스업",1058,1058,관측체계 내 확정집계
2024-12-01,M111,수의업,113,113,관측체계 내 확정집계
2024-12-01,M112,전문 디자인업,1159,1159,관측체계 내 확정집계
2024-12-01,M113,사진 촬영 및 처리업,546,546,관측체계 내 확정집계
2024-12-01,M114,인쇄 및 제품 제작업,648,648,관측체계 내 확정집계
2024-12-01,M115,"그 외 기타 전문, 과학 및 기술 서비스업",136,136,관측체계 내 확정집계
2024-12-01,N101,사업시설 유지ㆍ관리 서비스업,188,188,관측체계 내 확정집계
2024-12-01,N102,건물ㆍ산업설비 청소 및 방제 서비스업,1011,1011,관측체계 내 확정집계
2024-12-01,N103,조경관리 및 유지 서비스업,37,37,관측체계 내 확정집계
2024-12-01,N104,고용 알선 및 인력 공급업,498,498,관측체계 내 확정집계
2024-12-01,N105,여행사 및 기타 여행 보조 서비스업,336,336,관측체계 내 확정집계
2024-12-01,N107,사무 지원 서비스업,140,140,관측체계 내 확정집계
2024-12-01,N108,기타 사업 지원 서비스업,383,383,관측체계 내 확정집계
2024-12-01,N109,운송장비 대여업,122,122,관측체계 내 확정집계
2024-12-01,N110,개인 및 가정용품 대여업,283,283,관측체계 내 확정집계
2024-12-01,N111,산업용 기계 및 장비 대여업,210,210,관측체계 내 확정집계
2024-12-01,P105,일반 교육기관,1801,1801,관측체계 내 확정집계
2024-12-01,P106,기타 교육기관,3089,3089,관측체계 내 확정집계
2024-12-01,P107,교육 지원 서비스업,319,319,관측체계 내 확정집계
2024-12-01,Q101,병원,120,120,관측체계 내 확정집계
2024-12-01,Q102,의원,1667,1667,관측체계 내 확정집계
2024-12-01,Q104,기타 보건업,143,143,관측체계 내 확정집계
2024-12-01,R102,"도서관, 사적지 및 유사 여가관련 서비스업",352,352,관측체계 내 확정집계
2024-12-01,R103,스포츠 서비스업,1427,1427,관측체계 내 확정집계
2024-12-01,R104,유원지 및 기타 오락관련 서비스업,1922,1922,관측체계 내 확정집계
2024-12-01,S201,컴퓨터 및 주변 기기 수리업,249,249,관측체계 내 확정집계
2024-12-01,S202,통신장비 수리업,52,52,관측체계 내 확정집계
2024-12-01,S203,자동차 수리 및 세차업,1787,1787,관측체계 내 확정집계
2024-12-01,S204,모터사이클 수리업,91,91,관측체계 내 확정집계
2024-12-01,S205,가전제품 수리업,409,409,관측체계 내 확정집계
2024-12-01,S206,기타 개인 및 가정용품 수리업,553,553,관측체계 내 확정집계
2024-12-01,S207,이용 및 미용업,6011,6011,관측체계 내 확정집계
2024-12-01,S208,"욕탕, 마사지 및 기타 신체 관리 서비스업",399,399,관측체계 내 확정집계
2024-12-01,S209,세탁업,791,791,관측체계 내 확정집계
2024-12-01,S210,장례식장 및 관련 서비스업,228,228,관측체계 내 확정집계
2024-12-01,S211,기타 개인서비스,120,120,관측체계 내 확정집계
2025-03-01,G202,자동차 부품 및 내장품 소매업,295,295,관측체계 내 확정집계
2025-03-01,G203,모터사이클 및 부품 소매업,68,68,관측체계 내 확정집계
2025-03-01,G204,종합 소매업,3168,3168,관측체계 내 확정집계
2025-03-01,G205,식료품 소매업,2564,2564,관측체계 내 확정집계
2025-03-01,G206,음료 소매업,62,62,관측체계 내 확정집계
2025-03-01,G207,담배 소매업,94,94,관측체계 내 확정집계
2025-03-01,G208,가전제품 및 정보 통신장비 소매업,1236,1236,관측체계 내 확정집계
2025-03-01,G209,"섬유, 의복, 신발 및 가죽제품 소매업",4878,4878,관측체계 내 확정집계
2025-03-01,G210,"철물, 공구, 창호 및 건설자재 소매업",661,661,관측체계 내 확정집계
2025-03-01,G211,가구 소매업,316,316,관측체계 내 확정집계
2025-03-01,G212,기타 생활용품 소매업,565,565,관측체계 내 확정집계
2025-03-01,G213,"문화, 오락 및 여가 용품 소매업",1038,1038,관측체계 내 확정집계
2025-03-01,G214,연료소매업,425,425,관측체계 내 확정집계
2025-03-01,G215,"의약품, 의료용 기구, 화장품 및 방향제 소매업",1852,1852,관측체계 내 확정집계
2025-03-01,G216,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",398,398,관측체계 내 확정집계
2025-03-01,G217,시계 및 귀금속 소매업,341,341,관측체계 내 확정집계
2025-03-01,G218,"예술품, 기념품 및 장식용품 소매업",287,287,관측체계 내 확정집계
2025-03-01,G219,화초 및 식물 소매업,602,602,관측체계 내 확정집계
2025-03-01,G220,애완용 동물 및 관련용품 소매업,333,333,관측체계 내 확정집계
2025-03-01,G221,기타 상품 전문 소매업,306,306,관측체계 내 확정집계
2025-03-01,G222,중고 상품 소매업,364,364,관측체계 내 확정집계
2025-03-01,I101,일반 및 생활 숙박시설 운영업,669,669,관측체계 내 확정집계
2025-03-01,I102,기타 숙박업,54,54,관측체계 내 확정집계
2025-03-01,I201,한식 음식점업,10046,10046,관측체계 내 확정집계
2025-03-01,I202,중식 음식점업,831,831,관측체계 내 확정집계
2025-03-01,I203,일식 음식점업,718,718,관측체계 내 확정집계
2025-03-01,I204,서양식 음식점업,629,629,관측체계 내 확정집계
2025-03-01,I205,동남아시아 음식점업,149,149,관측체계 내 확정집계
2025-03-01,I206,기타 외국식 음식점업,0,0,관측체계 내 확정집계
2025-03-01,I207,구내식당 및 뷔페,206,206,관측체계 내 확정집계
2025-03-01,I210,기타 간이 음식점업,4842,4842,관측체계 내 확정집계
2025-03-01,I211,주점업,2308,2308,관측체계 내 확정집계
2025-03-01,I212,비알코올 음료점업,3932,3932,관측체계 내 확정집계
2025-03-01,L102,부동산관련 서비스업,2547,2547,관측체계 내 확정집계
2025-03-01,M103,법무관련 서비스업,743,743,관측체계 내 확정집계
2025-03-01,M104,회계 및 세무관련 서비스업,348,348,관측체계 내 확정집계
2025-03-01,M105,광고업,1053,1053,관측체계 내 확정집계
2025-03-01,M106,시장 조사 및 여론 조사업,48,48,관측체계 내 확정집계
2025-03-01,M107,회사 본부 및 경영 컨설팅 서비스업,1029,1029,관측체계 내 확정집계
2025-03-01,M109,"건축 기술, 엔지니어링 및 관련 기술 서비스업",1063,1063,관측체계 내 확정집계
2025-03-01,M111,수의업,108,108,관측체계 내 확정집계
2025-03-01,M112,전문 디자인업,1149,1149,관측체계 내 확정집계
2025-03-01,M113,사진 촬영 및 처리업,532,532,관측체계 내 확정집계
2025-03-01,M114,인쇄 및 제품 제작업,647,647,관측체계 내 확정집계
2025-03-01,M115,"그 외 기타 전문, 과학 및 기술 서비스업",119,119,관측체계 내 확정집계
2025-03-01,N101,사업시설 유지ㆍ관리 서비스업,201,201,관측체계 내 확정집계
